demojized,description
:light_skin_tone:,"light skin tone, skin tone, type 1–2, light, skin, tone"
:medium-light_skin_tone:,"medium-light skin tone, skin tone, type 3, medium-light, skin, tone"
:medium_skin_tone:,"medium skin tone, skin tone, type 4, medium, skin, tone"
:medium-dark_skin_tone:,"medium-dark skin tone, skin tone, type 5, medium-dark, skin, tone"
:dark_skin_tone:,"dark skin tone, skin tone, type 6, dark, skin, tone"
:red_hair:,"ginger, red hair, redhead, red, hair"
:curly_hair:,"afro, curly, curly hair, ringlets, curly, hair"
:white_hair:,"gray, hair, old, white, white, hair"
:bald:,"bald, chemotherapy, hairless, no hair, shaven, bald"
:grinning_face:,"face, grin, grinning face, grinning, face"
:grinning_face_with_big_eyes:,"face, grinning face with big eyes, mouth, open, smile, grinning, face, with, big, eyes"
:grinning_face_with_smiling_eyes:,"eye, face, grinning face with smiling eyes, mouth, open, smile, grinning, face, with, smiling, eyes"
:beaming_face_with_smiling_eyes:,"beaming face with smiling eyes, eye, face, grin, smile, beaming, face, with, smiling, eyes"
:grinning_squinting_face:,"face, grinning squinting face, laugh, mouth, satisfied, smile, grinning, squinting, face"
:grinning_face_with_sweat:,"cold, face, grinning face with sweat, open, smile, sweat, grinning, face, with, sweat"
:rolling_on_the_floor_laughing:,"face, floor, laugh, rofl, rolling, rolling on the floor laughing, rotfl, rolling, on, the, floor, laughing"
:face_with_tears_of_joy:,"face, face with tears of joy, joy, laugh, tear, face, with, tears, of, joy"
:slightly_smiling_face:,"face, slightly smiling face, smile, slightly, smiling, face"
:upside-down_face:,"face, upside-down, upside-down, face"
:melting_face:,"disappear, dissolve, liquid, melt, melting face, melting, face"
:winking_face:,"face, wink, winking face, winking, face"
:smiling_face_with_smiling_eyes:,"blush, eye, face, smile, smiling face with smiling eyes, smiling, face, with, smiling, eyes"
:smiling_face_with_halo:,"angel, face, fantasy, halo, innocent, smiling face with halo, smiling, face, with, halo"
:smiling_face_with_hearts:,"adore, crush, hearts, in love, smiling face with hearts, smiling, face, with, hearts"
:smiling_face_with_heart-eyes:,"eye, face, love, smile, smiling face with heart-eyes, smiling, face, with, heart-eyes"
:star-struck:,"eyes, face, grinning, star, star-struck, star-struck"
:face_blowing_a_kiss:,"face, face blowing a kiss, kiss, face, blowing, a, kiss"
:kissing_face:,"face, kiss, kissing face, kissing, face"
:smiling_face:,"face, outlined, relaxed, smile, smiling face, smiling, face"
:kissing_face_with_closed_eyes:,"closed, eye, face, kiss, kissing face with closed eyes, kissing, face, with, closed, eyes"
:kissing_face_with_smiling_eyes:,"eye, face, kiss, kissing face with smiling eyes, smile, kissing, face, with, smiling, eyes"
:smiling_face_with_tear:,"grateful, proud, relieved, smiling, smiling face with tear, tear, touched, smiling, face, with, tear"
:face_savoring_food:,"delicious, face, face savoring food, savouring, smile, yum, face, savoring, food"
:face_with_tongue:,"face, face with tongue, tongue, face, with, tongue"
:winking_face_with_tongue:,"eye, face, joke, tongue, wink, winking face with tongue, winking, face, with, tongue"
:zany_face:,"eye, goofy, large, small, zany face, zany, face"
:squinting_face_with_tongue:,"eye, face, horrible, squinting face with tongue, taste, tongue, squinting, face, with, tongue"
:money-mouth_face:,"face, money, money-mouth face, mouth, money-mouth, face"
:smiling_face_with_open_hands:,"face, hug, hugging, open hands, smiling face, smiling face with open hands, smiling, face, with, open, hands"
:face_with_hand_over_mouth:,"face with hand over mouth, whoops, face, with, hand, over, mouth"
:face_with_open_eyes_and_hand_over_mouth:,"amazement, awe, disbelief, embarrass, face with open eyes and hand over mouth, scared, surprise, face, with, open, eyes, and, hand, over, mouth"
:face_with_peeking_eye:,"captivated, face with peeking eye, peep, stare, face, with, peeking, eye"
:shushing_face:,"quiet, shush, shushing face, shushing, face"
:thinking_face:,"face, thinking, thinking, face"
:saluting_face:,"OK, salute, saluting face, sunny, troops, yes, saluting, face"
:zipper-mouth_face:,"face, mouth, zipper, zipper-mouth face, zipper-mouth, face"
:face_with_raised_eyebrow:,"distrust, face with raised eyebrow, skeptic, face, with, raised, eyebrow"
:neutral_face:,"deadpan, face, meh, neutral, neutral, face"
:expressionless_face:,"expressionless, face, inexpressive, meh, unexpressive, expressionless, face"
:face_without_mouth:,"face, face without mouth, mouth, quiet, silent, face, without, mouth"
:dotted_line_face:,"depressed, disappear, dotted line face, hide, introvert, invisible, dotted, line, face"
:face_in_clouds:,"absentminded, face in clouds, face in the fog, head in clouds, face, in, clouds"
:smirking_face:,"face, smirk, smirking face, smirking, face"
:unamused_face:,"face, unamused, unhappy, unamused, face"
:face_with_rolling_eyes:,"eyeroll, eyes, face, face with rolling eyes, rolling, face, with, rolling, eyes"
:grimacing_face:,"face, grimace, grimacing face, grimacing, face"
:face_exhaling:,"exhale, face exhaling, gasp, groan, relief, whisper, whistle, face, exhaling"
:lying_face:,"face, lie, lying face, pinocchio, lying, face"
:shaking_face:,"earthquake, face, shaking, shock, vibrate, shaking, face"
:relieved_face:,"face, relieved, relieved, face"
:pensive_face:,"dejected, face, pensive, pensive, face"
:sleepy_face:,"face, good night, sleep, sleepy face, sleepy, face"
:drooling_face:,"drooling, face, drooling, face"
:sleeping_face:,"face, good night, sleep, sleeping face, ZZZ, sleeping, face"
:face_with_medical_mask:,"cold, doctor, face, face with medical mask, mask, sick, face, with, medical, mask"
:face_with_thermometer:,"face, face with thermometer, ill, sick, thermometer, face, with, thermometer"
